docId,category
health1,health
health2,health
health3,health
health4,health
health5,health
health6,health
health7,health
health8,health
health9,health
health10,health
health11,health
health12,health
health13,health
health14,health
health15,health
health16,health
health17,health
health18,health
health19,health
health20,health
health21,health
health22,health
health23,health
health24,health
health25,health
health26,health
health27,health
health28,health
health29,health
health30,health
health31,health
health32,health
health33,health
health34,health
health35,health
health36,health
health37,health
health38,health
health39,health
health40,health
health41,health
health42,health
health43,health
health44,health
health45,health
health46,health
health47,health
health48,health
health49,health
health50,health
health51,health
health52,health
health53,health
health54,health
health55,health
health56,health
health57,health
health58,health
health59,health
health60,health
health61,health
health62,health
health63,health
health64,health
health65,health
health66,health
health67,health
health68,health
health69,health
health70,health
health71,health
health72,health
health73,health
health74,health
health75,health
health76,health
health77,health
health78,health
health79,health
health80,health
health81,health
health82,health
health83,health
health84,health
health85,health
health86,health
health87,health
health88,health
health89,health
health90,health
health91,health
health92,health
health93,health
health94,health
health95,health
health96,health
health97,health
health98,health
health99,health
health100,health
health101,health
health102,health
health103,health
health104,health
health105,health
health106,health
health107,health
health108,health
health109,health
health110,health
health111,health
health112,health
health113,health
health114,health
health115,health
health116,health
health117,health
health118,health
health119,health
health120,health
health121,health
health122,health
health123,health
health124,health
health125,health
health126,health
health127,health
health128,health
health129,health
health130,health
health131,health
health132,health
health133,health
health134,health
health135,health
health136,health
health137,health
health138,health
health139,health
health140,health
health141,health
health142,health
health143,health
health144,health
health145,health
health146,health
health147,health
health148,health
health149,health
health150,health
health151,health
health152,health
health153,health
health154,health
health155,health
health156,health
health157,health
health158,health
health159,health
health160,health
health161,health
health162,health
health163,health
health164,health
health165,health
health166,health
health167,health
health168,health
health169,health
health170,health
health171,health
health172,health
health173,health
health174,health
health175,health
health176,health
health177,health
health178,health
health179,health
health180,health
health181,health
health182,health
health183,health
health184,health
health185,health
health186,health
health187,health
health188,health
health189,health
health190,health
health191,health
health192,health
health193,health
health194,health
health195,health
health196,health
health197,health
health198,health
health199,health
health200,health
health201,health
health202,health
health203,health
health204,health
health205,health
health206,health
health207,health
health208,health
health209,health
health210,health
health211,health
health212,health
health213,health
health214,health
health215,health
health216,health
health217,health
health218,health
health219,health
health220,health
health221,health
health222,health
health223,health
health224,health
health225,health
health226,health
health227,health
health228,health
health229,health
health230,health
health231,health
health232,health
health233,health
health234,health
health235,health
health236,health
health237,health
health238,health
health239,health
health240,health
health241,health
health242,health
health243,health
health244,health
health245,health
health246,health
health247,health
health248,health
health249,health
health250,health
health251,health
health252,health
health253,health
health254,health
health255,health
health256,health
health257,health
health258,health
health259,health
health260,health
health261,health
health262,health
health263,health
health264,health
health265,health
health266,health
health267,health
health268,health
health269,health
health270,health
health271,health
health272,health
health273,health
health274,health
health275,health
health276,health
health277,health
health278,health
health279,health
health280,health
health281,health
health282,health
health283,health
health284,health
health285,health
health286,health
health287,health
health288,health
health289,health
health290,health
health291,health
health292,health
health293,health
health294,health
health295,health
health296,health
health297,health
health298,health
health299,health
health300,health
health301,health
health302,health
health303,health
health304,health
health305,health
health306,health
health307,health
health308,health
health309,health
health310,health
health311,health
health312,health
health313,health
health314,health
health315,health
health316,health
health317,health
health318,health
health319,health
health320,health
health321,health
health322,health
health323,health
health324,health
health325,health
health326,health
health327,health
health328,health
health329,health
health330,health
health331,health
health332,health
health333,health
health334,health
health335,health
health336,health
health337,health
health338,health
health339,health
health340,health
health341,health
health342,health
health343,health
health344,health
health345,health
health346,health
health347,health
health348,health
health349,health
health350,health
health351,health
health352,health
health353,health
health354,health
health355,health
health356,health
health357,health
health358,health
health359,health
health360,health
health361,health
health362,health
health363,health
health364,health
health365,health
health366,health
health367,health
health368,health
health369,health
health370,health
health371,health
health372,health
health373,health
health374,health
health375,health
health376,health
health377,health
health378,health
health379,health
health380,health
health381,health
health382,health
health383,health
health384,health
health385,health
health386,health
health387,health
health388,health
health389,health
health390,health
health391,health
health392,health
health393,health
health394,health
health395,health
health396,health
health397,health
health398,health
health399,health
health400,health
health401,health
health402,health
health403,health
health404,health
health405,health
health406,health
health407,health
health408,health
health409,health
health410,health
health411,health
health412,health
health413,health
health414,health
health415,health
health416,health
health417,health
health418,health
health419,health
health420,health
health421,health
health422,health
health423,health
health424,health
health425,health
health426,health
health427,health
health428,health
health429,health
health430,health
health431,health
health432,health
health433,health
health434,health
health435,health
health436,health
health437,health
health438,health
health439,health
health440,health
health441,health
health442,health
health443,health
health444,health
health445,health
health446,health
health447,health
health448,health
health449,health
health450,health
health451,health
health452,health
health453,health
health454,health
health455,health
health456,health
health457,health
health458,health
health459,health
health460,health
health461,health
health462,health
health463,health
health464,health
health465,health
health466,health
health467,health
health468,health
health469,health
health470,health
health471,health
health472,health
health473,health
health474,health
health475,health
health476,health
health477,health
health478,health
health479,health
health480,health
health481,health
health482,health
health483,health
health484,health
health485,health
health486,health
health487,health
health488,health
health489,health
health490,health
health491,health
health492,health
health493,health
health494,health
health495,health
health496,health
health497,health
health498,health
health499,health
health500,health
health501,health
health502,health
health503,health
health504,health
health505,health
health506,health
health507,health
health508,health
health509,health
health510,health
health511,health
health512,health
health513,health
health514,health
health515,health
health516,health
health517,health
health518,health
health519,health
health520,health
health521,health
health522,health
health523,health
health524,health
health525,health
health526,health
health527,health
health528,health
health529,health
health530,health
health531,health
health532,health
health533,health
health534,health
health535,health
health536,health
health537,health
health538,health
health539,health
health540,health
health541,health
health542,health
health543,health
health544,health
health545,health
health546,health
health547,health
health548,health
health549,health
health550,health
health551,health
health552,health
health553,health
health554,health
health555,health
health556,health
health557,health
health558,health
health559,health
health560,health
health561,health
health562,health
health563,health
health564,health
health565,health
health566,health
health567,health
health568,health
health569,health
health570,health
health571,health
health572,health
health573,health
health574,health
health575,health
health576,health
health577,health
health578,health
health579,health
health580,health
health581,health
health582,health
health583,health
health584,health
health585,health
health586,health
health587,health
health588,health
health589,health
health590,health
health591,health
health592,health
health593,health
health594,health
health595,health
health596,health
health597,health
health598,health
health599,health
health600,health
health601,health
health602,health
health603,health
health604,health
health605,health
health606,health
health607,health
health608,health
health609,health
health610,health
health611,health
health612,health
health613,health
health614,health
health615,health
health616,health
health617,health
health618,health
health619,health
health620,health
health621,health
health622,health
health623,health
health624,health
health625,health
health626,health
health627,health
health628,health
health629,health
health630,health
health631,health
health632,health
health633,health
health634,health
health635,health
health636,health
health637,health
health638,health
health639,health
health640,health
health641,health
health642,health
health643,health
health644,health
health645,health
health646,health
health647,health
health648,health
health649,health
health650,health
health651,health
health652,health
health653,health
health654,health
health655,health
health656,health
health657,health
health658,health
health659,health
health660,health
health661,health
health662,health
health663,health
health664,health
health665,health
health666,health
health667,health
health668,health
health669,health
health670,health
health671,health
health672,health
health673,health
health674,health
health675,health
health676,health
health677,health
health678,health
health679,health
health680,health
health681,health
health682,health
health683,health
health684,health
health685,health
health686,health
health687,health
health688,health
health689,health
health690,health
health691,health
health692,health
health693,health
health694,health
health695,health
health696,health
health697,health
health698,health
health699,health
health700,health
health701,health
health702,health
health703,health
health704,health
health705,health
health706,health
health707,health
health708,health
health709,health
health710,health
health711,health
health712,health
health713,health
health714,health
health715,health
health716,health
health717,health
health718,health
health719,health
health720,health
health721,health
health722,health
health723,health
health724,health
health725,health
health726,health
health727,health
health728,health
health729,health
health730,health
health731,health
health732,health
health733,health
health734,health
health735,health
health736,health
health737,health
health738,health
health739,health
health740,health
health741,health
health742,health
health743,health
health744,health
health745,health
health746,health
health747,health
health748,health
health749,health
health750,health
health751,health
health752,health
health753,health
health754,health
health755,health
health756,health
health757,health
health758,health
health759,health
health760,health
health761,health
health762,health
health763,health
health764,health
health765,health
health766,health
health767,health
health768,health
health769,health
health770,health
health771,health
health772,health
health773,health
health774,health
health775,health
health776,health
health777,health
health778,health
health779,health
health780,health
health781,health
health782,health
health783,health
health784,health
health785,health
health786,health
health787,health
health788,health
health789,health
health790,health
health791,health
health792,health
health793,health
health794,health
health795,health
health796,health
health797,health
health798,health
health799,health
health800,health
health801,health
health802,health
health803,health
health804,health
health805,health
health806,health
health807,health
health808,health
health809,health
health810,health
health811,health
health812,health
health813,health
health814,health
health815,health
health816,health
health817,health
health818,health
health819,health
health820,health
health821,health
health822,health
health823,health
health824,health
health825,health
health826,health
health827,health
health828,health
health829,health
health830,health
health831,health
health832,health
health833,health
health834,health
health835,health
health836,health
health837,health
health838,health
health839,health
health840,health
health841,health
health842,health
health843,health
health844,health
health845,health
health846,health
health847,health
health848,health
health849,health
health850,health
health851,health
health852,health
health853,health
health854,health
health855,health
health856,health
health857,health
health858,health
health859,health
health860,health
health861,health
health862,health
health863,health
health864,health
health865,health
health866,health
health867,health
health868,health
health869,health
health870,health
health871,health
health872,health
health873,health
health874,health
health875,health
health876,health
health877,health
health878,health
health879,health
health880,health
health881,health
health882,health
health883,health
health884,health
health885,health
health886,health
health887,health
health888,health
health889,health
health890,health
health891,health
health892,health
health893,health
health894,health
health895,health
health896,health
health897,health
health898,health
health899,health
health900,health
health901,health
health902,health
health903,health
health904,health
health905,health
health906,health
health907,health
health908,health
health909,health
health910,health
health911,health
health912,health
health913,health
health914,health
health915,health
health916,health
health917,health
health918,health
health919,health
health920,health
health921,health
health922,health
health923,health
health924,health
health925,health
health926,health
health927,health
health928,health
health929,health
health930,health
health931,health
health932,health
health933,health
health934,health
health935,health
health936,health
health937,health
health938,health
health939,health
health940,health
health941,health
health942,health
health943,health
health944,health
health945,health
health946,health
health947,health
health948,health
health949,health
health950,health
health951,health
health952,health
health953,health
health954,health
health955,health
health956,health
health957,health
health958,health
health959,health
health960,health
health961,health
health962,health
health963,health
health964,health
health965,health
health966,health
health967,health
health968,health
health969,health
health970,health
health971,health
health972,health
health973,health
health974,health
health975,health
health976,health
health977,health
health978,health
health979,health
health980,health
health981,health
health982,health
health983,health
health984,health
health985,health
health986,health
health987,health
health988,health
health989,health
health990,health
health991,health
health992,health
health993,health
health994,health
health995,health
health996,health
health997,health
health998,health
health999,health
health1000,health
health1001,health
health1002,health
health1003,health
health1004,health
health1005,health
health1006,health
health1007,health
health1008,health
health1009,health
health1010,health
health1011,health
health1012,health
health1013,health
health1014,health
health1015,health
health1016,health
health1017,health
health1018,health
health1019,health
health1020,health
health1021,health
health1022,health
health1023,health
health1024,health
health1025,health
health1026,health
health1027,health
health1028,health
health1029,health
health1030,health
health1031,health
health1032,health
health1033,health
health1034,health
health1035,health
health1036,health
health1037,health
health1038,health
health1039,health
health1040,health
health1041,health
health1042,health
health1043,health
health1044,health
health1045,health
health1046,health
health1047,health
health1048,health
health1049,health
health1050,health
health1051,health
health1052,health
health1053,health
health1054,health
health1055,health
health1056,health
health1057,health
health1058,health
health1059,health
health1060,health
health1061,health
health1062,health
health1063,health
health1064,health
health1065,health
health1066,health
health1067,health
health1068,health
health1069,health
health1070,health
health1071,health
health1072,health
health1073,health
health1074,health
health1075,health
health1076,health
health1077,health
health1078,health
health1079,health
health1080,health
health1081,health
health1082,health
health1083,health
health1084,health
health1085,health
health1086,health
health1087,health
health1088,health
health1089,health
health1090,health
health1091,health
health1092,health
health1093,health
health1094,health
health1095,health
health1096,health
health1097,health
health1098,health
health1099,health
health1100,health
health1101,health
health1102,health
health1103,health
health1104,health
health1105,health
health1106,health
health1107,health
health1108,health
health1109,health
health1110,health
health1111,health
health1112,health
health1113,health
health1114,health
health1115,health
health1116,health
health1117,health
health1118,health
health1119,health
health1120,health
health1121,health
health1122,health
health1123,health
health1124,health
health1125,health
health1126,health
health1127,health
health1128,health
health1129,health
health1130,health
health1131,health
health1132,health
health1133,health
health1134,health
health1135,health
health1136,health
health1137,health
health1138,health
health1139,health
health1140,health
health1141,health
health1142,health
health1143,health
health1144,health
health1145,health
health1146,health
health1147,health
health1148,health
health1149,health
health1150,health
health1151,health
health1152,health
health1153,health
health1154,health
health1155,health
health1156,health
health1157,health
health1158,health
health1159,health
health1160,health
health1161,health
health1162,health
health1163,health
health1164,health
health1165,health
health1166,health
health1167,health
health1168,health
health1169,health
health1170,health
health1171,health
health1172,health
health1173,health
health1174,health
health1175,health
health1176,health
health1177,health
health1178,health
health1179,health
health1180,health
health1181,health
health1182,health
health1183,health
health1184,health
health1185,health
health1186,health
health1187,health
health1188,health
health1189,health
health1190,health
health1191,health
health1192,health
health1193,health
health1194,health
health1195,health
health1196,health
health1197,health
health1198,health
health1199,health
health1200,health
