index,docId,category,charCount,wordCount,url
1,health1,health,2320,846,https://kohsantepheapdaily.com.kh/article/1133684.html
2,health2,health,2760,1021,https://kohsantepheapdaily.com.kh/article/1445159.html
3,health3,health,739,267,https://kohsantepheapdaily.com.kh/article/2020144.html
4,health4,health,1454,541,https://kohsantepheapdaily.com.kh/article/1431679.html
5,health5,health,1360,495,https://kohsantepheapdaily.com.kh/article/%e1%9e%a0%e1%9e%bb%e1%9e%84%e2%80%8b%e1%9e%82%e1%9f%92%e1%9e%9a%e1%9e%b8%e2%80%8b%e1%9e%80%e1%9f%86%e1%9e%96%e1%9e%bb%e1%9e%84%e2%80%8b%e1%9e%91%e1%9e%b6%e1%9e%80%e1%9f%8b%e1%9e%91%e1%9e%84%e2%80%8b.html
6,health6,health,2904,1070,https://kohsantepheapdaily.com.kh/article/1050981.html
7,health7,health,1195,451,https://www.rfa.org/khmer/news/health/cambodia-records-35-new-cases-of-omicron-on-april-4-04042022182550.html
8,health8,health,1998,737,https://kohsantepheapdaily.com.kh/article/1089764.html
9,health9,health,2436,864,https://kohsantepheapdaily.com.kh/article/1334808.html
10,health10,health,1515,600,https://kohsantepheapdaily.com.kh/article/1968947.html
11,health11,health,3110,1208,https://kohsantepheapdaily.com.kh/article/1973811.html
12,health12,health,2890,1044,https://kohsantepheapdaily.com.kh/article/2006614.html
13,health13,health,3402,1242,https://kohsantepheapdaily.com.kh/article/1432234.html
14,health14,health,1147,428,https://kohsantepheapdaily.com.kh/article/1448008.html
15,health15,health,475,166,https://kohsantepheapdaily.com.kh/article/1110177.html
16,health16,health,725,260,https://www.rfa.org/khmer/news/health/update-covid19-omicron-04102022063728.html
17,health17,health,1231,451,https://kohsantepheapdaily.com.kh/article/%e1%9e%8f%e1%9f%92%e1%9e%9a%e1%9e%b8%e1%9e%86%e1%9f%92%e1%9e%9b%e1%9e%b6%e1%9e%98%e1%9e%87%e1%9e%b6%e1%9e%84%e1%9e%80%e1%9e%93%e1%9f%92%e1%9e%9b%e1%9f%87%e1%9e%9b%e1%9e%b6%e1%9e%93%e1%9e%80%e1%9f%92.html
18,health18,health,1197,464,https://kohsantepheapdaily.com.kh/article/1463176.html
19,health19,health,1759,656,https://www.rfa.org/khmer/news/health/bun-rany-get-treatment-in-calmette-02022024000124.html
20,health20,health,3049,1126,https://kohsantepheapdaily.com.kh/article/1527974.html
21,health21,health,3118,1133,https://kohsantepheapdaily.com.kh/article/1522070.html
22,health22,health,3574,1341,https://kohsantepheapdaily.com.kh/article/1693964.html
23,health23,health,4058,1519,https://kohsantepheapdaily.com.kh/article/1105488.html
24,health24,health,3702,1359,https://kohsantepheapdaily.com.kh/article/1882942.html
25,health25,health,1681,611,https://kohsantepheapdaily.com.kh/article/1229092.html
26,health26,health,1079,400,https://kohsantepheapdaily.com.kh/article/1483100.html
27,health27,health,1173,428,https://www.rfa.org/khmer/news/health/covid19-update-02282022032730.html
28,health28,health,1051,381,https://kohsantepheapdaily.com.kh/article/1378460.html
29,health29,health,2223,823,https://kohsantepheapdaily.com.kh/article/1784697.html
30,health30,health,4008,1498,https://kohsantepheapdaily.com.kh/article/1636786.html
31,health31,health,1253,481,https://kohsantepheapdaily.com.kh/article/1416122.html
32,health32,health,1190,441,https://kohsantepheapdaily.com.kh/article/1373603.html
33,health33,health,1175,446,https://kohsantepheapdaily.com.kh/article/1419680.html
34,health34,health,1251,480,https://kohsantepheapdaily.com.kh/article/1479886.html
